,id,season,week,season_type,date,home_team,home_conference,home_score,away_team,away_conference,away_score,formatted_spread,home_spread,home_result,home_diff,away_spread,away_result,away_diff,covering_team,vegas_error
3504,401013357,2018,1,regular,2018-08-25,UMass,FBS Independents,63,Duquesne,NEC,15,UMass -21,-21.0,-48,27.0,21.0,48,-27.0,UMass,27.0
3442,401014972,2018,1,regular,2018-08-25,Rice,Conference USA,31,Prairie View,SWAC,28,Rice -22.5,-22.5,-3,-19.5,22.5,3,19.5,Prairie View,19.5
3444,401022510,2018,1,regular,2018-08-25,Colorado State,Mountain West,34,Hawai'i,Mountain West,43,Colorado State -17,-17.0,9,-26.0,17.0,-9,26.0,Hawai'i,26.0
3450,401019470,2018,1,regular,2018-08-30,Connecticut,American Athletic,17,UCF,American Athletic,56,UCF -22.5,22.5,39,-16.5,-22.5,-39,16.5,UCF,16.5
3424,401020671,2018,1,regular,2018-08-30,Ball State,Mid-American,42,Central Connecticut,NEC,6,Ball State -19.5,-19.5,-36,16.5,19.5,36,-16.5,Ball State,16.5
3466,401012258,2018,1,regular,2018-08-31,Texas A&M,SEC,59,Northwestern State,Southland,7,Texas A&M -47,-47.0,-52,5.0,47.0,52,-5.0,Texas A&M,5.0
3426,401012675,2018,1,regular,2018-08-31,Utah,Pac-12,41,Weber State,Big Sky,10,Utah -30.5,-30.5,-31,0.5,30.5,31,-0.5,Utah,0.5
402,401012880,2018,1,regular,2018-08-31,Michigan State,Big Ten,38,Utah State,Mountain West,31,Michigan State -23.5,-23.5,-7,-16.5,23.5,7,16.5,Utah State,16.5
3428,401013086,2018,1,regular,2018-08-31,Tulane,American Athletic,17,Wake Forest,ACC,23,Wake Forest -7.5,7.5,6,1.5,-7.5,-6,-1.5,Tulane,1.5
414,401013089,2018,1,regular,2018-08-31,Duke,ACC,34,Army,FBS Independents,14,Duke -14,-14.0,-20,6.0,14.0,20,-6.0,Duke,6.0
3432,401013342,2018,1,regular,2018-08-31,Purdue,Big Ten,27,Northwestern,Big Ten,31,Purdue -1,-1.0,4,-5.0,1.0,-4,5.0,Northwestern,5.0
3435,401013489,2018,1,regular,2018-08-31,Oklahoma State,Big 12,58,Missouri State,MVFC,17,Oklahoma State -46,-46.0,-41,-5.0,46.0,41,5.0,Missouri State,5.0
3436,401014979,2018,1,regular,2018-08-31,UAB,Conference USA,52,Savannah State,MEAC,0,UAB -39,-39.0,-52,13.0,39.0,52,-13.0,UAB,13.0
3473,401020672,2018,1,regular,2018-08-31,Eastern Michigan,Mid-American,51,Monmouth,Big South,17,Eastern Michigan -23.5,-23.5,-34,10.5,23.5,34,-10.5,Eastern Michigan,10.5
410,401020673,2018,1,regular,2018-08-31,Western Michigan,Mid-American,42,Syracuse,ACC,55,Syracuse -5,5.0,13,-8.0,-5.0,-13,8.0,Syracuse,8.0
3465,401021655,2018,1,regular,2018-08-31,Louisiana Monroe,Sun Belt,34,Southeastern Louisiana,Southland,31,Louisiana Monroe -21,-21.0,-3,-18.0,21.0,3,18.0,Southeastern Louisiana,18.0
3483,401012247,2018,1,regular,2018-09-01,Arkansas,SEC,55,Eastern Illinois,OVC,20,Arkansas -35,-35.0,-35,0.0,35.0,35,-0.0,Eastern Illinois,0.0
3070,401012248,2018,1,regular,2018-09-01,Auburn,SEC,21,Washington,Pac-12,16,Auburn -1,-1.0,-5,4.0,1.0,5,-4.0,Auburn,4.0
3474,401012249,2018,1,regular,2018-09-01,Florida,SEC,53,Charleston Southern,Big South,6,Florida -43,-43.0,-47,4.0,43.0,47,-4.0,Florida,4.0
3481,401012250,2018,1,regular,2018-09-01,Georgia,SEC,45,Austin Peay,OVC,0,Georgia -48,-48.0,-45,-3.0,48.0,45,3.0,Austin Peay,3.0
3055,401012253,2018,1,regular,2018-09-01,Texas Tech,Big 12,27,Ole Miss,SEC,47,Ole Miss -1.5,1.5,20,-18.5,-1.5,-20,18.5,Ole Miss,18.5
44,401012254,2018,1,regular,2018-09-01,Mississippi State,SEC,63,Stephen F. Austin,Southland,6,Mississippi State -47.5,-47.5,-57,9.5,47.5,57,-9.5,Mississippi State,9.5
3484,401012255,2018,1,regular,2018-09-01,Missouri,SEC,51,UT Martin,OVC,14,Missouri -35,-35.0,-37,2.0,35.0,37,-2.0,Missouri,2.0
2919,401012256,2018,1,regular,2018-09-01,South Carolina,SEC,49,Coastal Carolina,Sun Belt,15,South Carolina -30.5,-30.5,-34,3.5,30.5,34,-3.5,South Carolina,3.5
3295,401012257,2018,1,regular,2018-09-01,Tennessee,SEC,14,West Virginia,Big 12,40,West Virginia -10,10.0,26,-16.0,-10.0,-26,16.0,West Virginia,16.0
60,401012259,2018,1,regular,2018-09-01,Vanderbilt,SEC,35,Middle Tennessee,Conference USA,7,Vanderbilt -3,-3.0,-28,25.0,3.0,28,-25.0,Vanderbilt,25.0
3165,401012678,2018,1,regular,2018-09-01,USC,Pac-12,43,UNLV,Mountain West,21,USC -25,-25.0,-22,-3.0,25.0,22,3.0,UNLV,3.0
418,401012680,2018,1,regular,2018-09-01,Colorado State,Mountain West,13,Colorado,Pac-12,45,Colorado State -7,-7.0,32,-39.0,7.0,-32,39.0,Colorado,39.0
3126,401012682,2018,1,regular,2018-09-01,Ohio State,Big Ten,77,Oregon State,Pac-12,31,Ohio State -40,-40.0,-46,6.0,40.0,46,-6.0,Ohio State,6.0
2801,401012683,2018,1,regular,2018-09-01,Wyoming,Mountain West,19,Washington State,Pac-12,41,Washington State -3,3.0,22,-19.0,-3.0,-22,19.0,Washington State,19.0
3102,401012684,2018,1,regular,2018-09-01,California,Pac-12,24,North Carolina,ACC,17,California -7,-7.0,-7,0.0,7.0,7,-0.0,North Carolina,0.0
3098,401012804,2018,1,regular,2018-09-01,Illinois,Big Ten,31,Kent State,Mid-American,24,Illinois -18,-18.0,-7,-11.0,18.0,7,11.0,Kent State,11.0
513,401012820,2018,1,regular,2018-09-01,Rutgers,Big Ten,35,Texas State,Sun Belt,7,Rutgers -16.5,-16.5,-28,11.5,16.5,28,-11.5,Rutgers,11.5
3002,401012851,2018,1,regular,2018-09-01,Florida International,Conference USA,28,Indiana,Big Ten,38,Indiana -13,13.0,10,3.0,-13.0,-10,-3.0,Florida International,3.0
3405,401012862,2018,1,regular,2018-09-01,Iowa,Big Ten,33,Northern Illinois,Mid-American,7,Iowa -9.5,-9.5,-26,16.5,9.5,26,-16.5,Iowa,16.5
422,401012872,2018,1,regular,2018-09-01,Maryland,Big Ten,34,Texas,Big 12,29,Texas -13,13.0,-5,18.0,-13.0,5,-18.0,Maryland,18.0
2850,401012888,2018,1,regular,2018-09-01,Notre Dame,FBS Independents,24,Michigan,Big Ten,17,Michigan -3,3.0,-7,10.0,-3.0,7,-10.0,Notre Dame,10.0
3467,401013048,2018,1,regular,2018-09-01,Kansas,Big 12,23,Nicholls,Southland,26,Kansas -8,-8.0,3,-11.0,8.0,-3,11.0,Nicholls,11.0
3512,401013057,2018,1,regular,2018-09-01,Kansas State,Big 12,27,South Dakota,MVFC,24,Kansas State -24,-24.0,-3,-21.0,24.0,3,21.0,South Dakota,21.0
3082,401013065,2018,1,regular,2018-09-01,Oklahoma,Big 12,63,Florida Atlantic,Conference USA,14,Oklahoma -19,-19.0,-49,30.0,19.0,49,-30.0,Oklahoma,30.0
2971,401013072,2018,1,regular,2018-09-01,TCU,Big 12,55,Southern,SWAC,7,TCU -49,-49.0,-48,-1.0,49.0,48,1.0,Southern,1.0
3387,401013087,2018,1,regular,2018-09-01,Boston College,ACC,55,UMass,FBS Independents,21,Boston College -20.5,-20.5,-34,13.5,20.5,34,-13.5,Boston College,13.5
3488,401013088,2018,1,regular,2018-09-01,Clemson,ACC,48,Furman,Southern,7,Clemson -50.5,-50.5,-41,-9.5,50.5,41,9.5,Furman,9.5
3403,401013090,2018,1,regular,2018-09-01,Georgia Tech,ACC,41,Alcorn State,SWAC,0,Georgia Tech -43,-43.0,-41,-2.0,43.0,41,2.0,Alcorn State,2.0
3498,401013091,2018,1,regular,2018-09-01,NC State,ACC,24,James Madison,CAA,13,NC State -14.5,-14.5,-11,-3.5,14.5,11,3.5,James Madison,3.5
3402,401013092,2018,1,regular,2018-09-01,Pittsburgh,ACC,33,Albany,CAA,7,Pittsburgh -27,-27.0,-26,-1.0,27.0,26,1.0,Albany,1.0
3500,401013094,2018,1,regular,2018-09-01,Virginia,ACC,42,Richmond,CAA,13,Virginia -14.5,-14.5,-29,14.5,14.5,29,-14.5,Virginia,14.5
3051,401013349,2018,1,regular,2018-09-01,Penn State,Big Ten,45,Appalachian State,Sun Belt,38,Penn State -24.5,-24.5,-7,-17.5,24.5,7,17.5,Appalachian State,17.5
3439,401013354,2018,1,regular,2018-09-01,Wisconsin,Big Ten,34,Western Kentucky,Conference USA,3,Wisconsin -36,-36.0,-31,-5.0,36.0,31,5.0,Western Kentucky,5.0
48,401013448,2018,1,regular,2018-09-01,Liberty,FBS Independents,52,Old Dominion,Conference USA,10,Old Dominion -5,5.0,-42,47.0,-5.0,42,-47.0,Liberty,47.0
3461,401014973,2018,1,regular,2018-09-01,Charlotte,Conference USA,34,Fordham,Patriot,10,Charlotte -16.5,-16.5,-24,7.5,16.5,24,-7.5,Charlotte,7.5
53,401014974,2018,1,regular,2018-09-01,South Alabama,Sun Belt,26,Louisiana Tech,Conference USA,30,Louisiana Tech -10.5,10.5,4,6.5,-10.5,-4,-6.5,South Alabama,6.5
3417,401014975,2018,1,regular,2018-09-01,Miami (OH),Mid-American,28,Marshall,Conference USA,35,Miami (OH) -1.5,-1.5,7,-8.5,1.5,-7,8.5,Marshall,8.5
3090,401014976,2018,1,regular,2018-09-01,North Texas,Conference USA,46,SMU,American Athletic,23,North Texas -3.5,-3.5,-23,19.5,3.5,23,-19.5,North Texas,19.5
2939,401014977,2018,1,regular,2018-09-01,Rice,Conference USA,27,Houston,American Athletic,45,Houston -26,26.0,18,8.0,-26.0,-18,-8.0,Rice,8.0
3010,401014978,2018,1,regular,2018-09-01,Southern Mississippi,Conference USA,55,Jackson State,SWAC,7,Southern Mississippi -33,-33.0,-48,15.0,33.0,48,-15.0,Southern Mississippi,15.0
427,401014980,2018,1,regular,2018-09-01,UTEP,Conference USA,10,Northern Arizona,Big Sky,30,Northern Arizona -7,7.0,20,-13.0,-7.0,-20,13.0,Northern Arizona,13.0
3501,401019472,2018,1,regular,2018-09-01,South Florida,American Athletic,34,Elon,CAA,14,South Florida -27,-27.0,-20,-7.0,27.0,20,7.0,Elon,7.0
425,401019473,2018,1,regular,2018-09-01,Temple,American Athletic,17,Villanova,CAA,19,Temple -15,-15.0,2,-17.0,15.0,-2,17.0,Villanova,17.0
3468,401019476,2018,1,regular,2018-09-01,Tulsa,American Athletic,38,Central Arkansas,Southland,27,Tulsa -11.5,-11.5,-11,-0.5,11.5,11,0.5,Central Arkansas,0.5
3516,401020675,2018,1,regular,2018-09-01,Ohio,Mid-American,38,Howard,MEAC,32,Ohio -31,-31.0,-6,-25.0,31.0,6,25.0,Howard,25.0
