,id,season,week,season_type,date,home_team,home_conference,home_score,away_team,away_conference,away_score,formatted_spread,home_spread,home_result,home_diff,away_spread,away_result,away_diff,covering_team,vegas_error
4738,401282714,2021,1,regular,2021-08-28,Illinois,Big Ten,30,Nebraska,Big Ten,22,Nebraska -6.5,6.5,-8,14.5,-6.5,8,-14.5,Illinois,14.5
4720,401286187,2021,1,regular,2021-08-28,Fresno State,Mountain West,45,Connecticut,FBS Independents,0,Fresno State -27.5,-27.5,-45,17.5,27.5,45,-17.5,Fresno State,17.5
4725,401309833,2021,1,regular,2021-08-28,UCLA,Pac-12,44,Hawai'i,Mountain West,10,UCLA -17.5,-17.5,-34,16.5,17.5,34,-16.5,UCLA,16.5
4730,401282049,2021,1,regular,2021-08-29,New Mexico State,FBS Independents,3,UTEP,Conference USA,30,UTEP -9.5,9.5,27,-17.5,-9.5,-27,17.5,UTEP,17.5
4735,401310693,2021,1,regular,2021-08-29,San José State,Mountain West,45,Southern Utah,Big Sky,14,San José State -28,-28.0,-31,3.0,28.0,31,-3.0,San José State,3.0
4905,401282050,2021,1,regular,2021-09-01,Jacksonville State,AWC,0,UAB,Conference USA,31,UAB -16.5,16.5,31,-14.5,-16.5,-31,14.5,UAB,14.5
1871,401282607,2021,1,regular,2021-09-02,NC State,ACC,45,South Florida,American Athletic,0,NC State -19,-19.0,-45,26.0,19.0,45,-26.0,NC State,26.0
1876,401300993,2021,1,regular,2021-09-02,Appalachian State,Sun Belt,33,East Carolina,American Athletic,19,Appalachian State -9,-9.0,-14,5.0,9.0,14,-5.0,Appalachian State,5.0
1881,401300994,2021,1,regular,2021-09-02,Tulsa,American Athletic,17,UC Davis,Big Sky,19,Tulsa -22,-22.0,2,-24.0,22.0,-2,24.0,UC Davis,24.0
1898,401300995,2021,1,regular,2021-09-02,UCF,American Athletic,36,Boise State,Mountain West,31,UCF -6.5,-6.5,-5,-1.5,6.5,5,1.5,Boise State,1.5
1868,401309540,2021,1,regular,2021-09-02,Ball State,Mid-American,31,Western Illinois,MVFC,21,Ball State -31,-31.0,-10,-21.0,31.0,10,21.0,Western Illinois,21.0
1894,401309542,2021,1,regular,2021-09-02,Buffalo,Mid-American,69,Wagner,NEC,7,Buffalo -43.5,-43.5,-62,18.5,43.5,62,-18.5,Buffalo,18.5
2277,401309834,2021,1,regular,2021-09-02,Utah,Pac-12,40,Weber State,Big Sky,17,Utah -29.5,-29.5,-23,-6.5,29.5,23,6.5,Weber State,6.5
1864,401328545,2021,1,regular,2021-09-02,Coastal Carolina,Sun Belt,52,The Citadel,Southern,14,Coastal Carolina -33.5,-33.5,-38,4.5,33.5,38,-4.5,Coastal Carolina,4.5
1884,401281952,2021,1,regular,2021-09-03,Tennessee,SEC,38,Bowling Green,Mid-American,6,Tennessee -37,-37.0,-32,-5.0,37.0,32,5.0,Bowling Green,5.0
2218,401282052,2021,1,regular,2021-09-03,Charlotte,Conference USA,31,Duke,ACC,28,Duke -6.5,6.5,-3,9.5,-6.5,3,-9.5,Charlotte,9.5
2223,401282608,2021,1,regular,2021-09-03,Wake Forest,ACC,42,Old Dominion,Conference USA,10,Wake Forest -32.5,-32.5,-32,-0.5,32.5,32,0.5,Old Dominion,0.5
1860,401282789,2021,1,regular,2021-09-03,Minnesota,Big Ten,31,Ohio State,Big Ten,45,Ohio State -14,14.0,14,0.0,-14.0,-14,-0.0,Ohio State,0.0
2227,401309541,2021,1,regular,2021-09-03,Eastern Michigan,Mid-American,35,St Francis (PA),NEC,15,Eastern Michigan -34,-34.0,-20,-14.0,34.0,20,14.0,St Francis (PA),14.0
2134,401309835,2021,1,regular,2021-09-03,Arizona State,Pac-12,41,Southern Utah,Big Sky,14,Arizona State -44.5,-44.5,-27,-17.5,44.5,27,17.5,Southern Utah,17.5
2213,401309937,2021,1,regular,2021-09-03,Virginia Tech,ACC,17,North Carolina,ACC,10,North Carolina -5.5,5.5,-7,12.5,-5.5,7,-12.5,Virginia Tech,12.5
2140,401310694,2021,1,regular,2021-09-03,UNLV,Mountain West,33,Eastern Washington,Big Sky,35,Eastern Washington -2,2.0,2,0.0,-2.0,-2,-0.0,Eastern Washington,0.0
2137,401310696,2021,1,regular,2021-09-03,New Mexico,Mountain West,27,Houston Christian,Southland,17,New Mexico -25.5,-25.5,-10,-15.5,25.5,10,15.5,Houston Christian,15.5
1905,401281942,2021,1,regular,2021-09-04,Miami,ACC,13,Alabama,SEC,44,Alabama -19.5,19.5,31,-11.5,-19.5,-31,11.5,Alabama,11.5
1945,401281943,2021,1,regular,2021-09-04,Arkansas,SEC,38,Rice,Conference USA,17,Arkansas -19.5,-19.5,-21,1.5,19.5,21,-1.5,Arkansas,1.5
1979,401281944,2021,1,regular,2021-09-04,Auburn,SEC,60,Akron,Mid-American,10,Auburn -37,-37.0,-50,13.0,37.0,50,-13.0,Auburn,13.0
