,id,season,week,season_type,date,home_team,home_conference,home_score,away_team,away_conference,away_score,formatted_spread,home_spread,home_result,home_diff,away_spread,away_result,away_diff,covering_team,vegas_error
218,401281945,2021,1,regular,2021-09-04,Florida,SEC,35,Florida Atlantic,Conference USA,14,Florida -23.5,-23.5,-21,-2.5,23.5,21,2.5,Florida Atlantic,2.5
207,401281946,2021,1,regular,2021-09-04,Clemson,ACC,3,Georgia,SEC,10,Clemson -2.5,-2.5,7,-9.5,2.5,-7,9.5,Georgia,9.5
223,401281947,2021,1,regular,2021-09-04,Kentucky,SEC,45,Louisiana Monroe,Sun Belt,10,Kentucky -31,-31.0,-35,4.0,31.0,35,-4.0,Kentucky,4.0
1960,401281949,2021,1,regular,2021-09-04,Mississippi State,SEC,35,Louisiana Tech,Conference USA,34,Mississippi State -20.5,-20.5,-1,-19.5,20.5,1,19.5,Louisiana Tech,19.5
1965,401281950,2021,1,regular,2021-09-04,Missouri,SEC,34,Central Michigan,Mid-American,24,Missouri -14,-14.0,-10,-4.0,14.0,10,4.0,Central Michigan,4.0
1984,401281951,2021,1,regular,2021-09-04,South Carolina,SEC,46,Eastern Illinois,OVC,0,South Carolina -31.5,-31.5,-46,14.5,31.5,46,-14.5,South Carolina,14.5
1986,401282173,2021,1,regular,2021-09-04,Middle Tennessee,Conference USA,50,Monmouth,Big South,15,Middle Tennessee -8.5,-8.5,-35,26.5,8.5,35,-26.5,Middle Tennessee,26.5
15,401282174,2021,1,regular,2021-09-04,Navy,American Athletic,7,Marshall,Conference USA,49,Marshall -3,3.0,42,-39.0,-3.0,-42,39.0,Marshall,39.0
272,401282175,2021,1,regular,2021-09-04,North Texas,Conference USA,44,Northwestern State,Southland,14,North Texas -20,-20.0,-30,10.0,20.0,30,-10.0,North Texas,10.0
275,401282179,2021,1,regular,2021-09-04,Illinois,Big Ten,30,UT San Antonio,Conference USA,37,Illinois -4.5,-4.5,7,-11.5,4.5,-7,11.5,UT San Antonio,11.5
228,401282609,2021,1,regular,2021-09-04,Boston College,ACC,51,Colgate,Patriot,0,Boston College -42.5,-42.5,-51,8.5,42.5,51,-8.5,Boston College,8.5
2312,401282610,2021,1,regular,2021-09-04,Georgia Tech,ACC,21,Northern Illinois,Mid-American,22,Georgia Tech -19,-19.0,1,-20.0,19.0,-1,20.0,Northern Illinois,20.0
242,401282611,2021,1,regular,2021-09-04,Ohio,Mid-American,9,Syracuse,ACC,29,Ohio -2,-2.0,20,-22.0,2.0,-20,22.0,Syracuse,22.0
1970,401282612,2021,1,regular,2021-09-04,Pittsburgh,ACC,51,UMass,FBS Independents,7,Pittsburgh -37.5,-37.5,-44,6.5,37.5,44,-6.5,Pittsburgh,6.5
4705,401282613,2021,1,regular,2021-09-04,Virginia,ACC,43,William & Mary,CAA,0,Virginia -30.5,-30.5,-43,12.5,30.5,43,-12.5,Virginia,12.5
1924,401282723,2021,1,regular,2021-09-04,Iowa,Big Ten,34,Indiana,Big Ten,6,Iowa -3.5,-3.5,-28,24.5,3.5,28,-24.5,Iowa,24.5
1955,401282764,2021,1,regular,2021-09-04,Maryland,Big Ten,30,West Virginia,Big 12,24,West Virginia -2.5,2.5,-6,8.5,-2.5,6,-8.5,Maryland,8.5
231,401282772,2021,1,regular,2021-09-04,Michigan,Big Ten,47,Western Michigan,Mid-American,14,Michigan -16.5,-16.5,-33,16.5,16.5,33,-16.5,Michigan,16.5
2237,401282782,2021,1,regular,2021-09-04,Northwestern,Big Ten,21,Michigan State,Big Ten,38,Northwestern -3,-3.0,17,-20.0,3.0,-17,20.0,Michigan State,20.0
1919,401282815,2021,1,regular,2021-09-04,Wisconsin,Big Ten,10,Penn State,Big Ten,16,Wisconsin -5.5,-5.5,6,-11.5,5.5,-6,11.5,Penn State,11.5
247,401282819,2021,1,regular,2021-09-04,Purdue,Big Ten,30,Oregon State,Pac-12,21,Purdue -7,-7.0,-9,2.0,7.0,9,-2.0,Purdue,2.0
1890,401282822,2021,1,regular,2021-09-04,Rutgers,Big Ten,61,Temple,American Athletic,14,Rutgers -14,-14.0,-47,33.0,14.0,47,-33.0,Rutgers,33.0
1929,401286188,2021,1,regular,2021-09-04,Connecticut,FBS Independents,28,Holy Cross,Patriot,38,Connecticut -3,-3.0,10,-13.0,3.0,-10,13.0,Holy Cross,13.0
1975,401286294,2021,1,regular,2021-09-04,Liberty,FBS Independents,48,Campbell,Big South,7,Liberty -35,-35.0,-41,6.0,35.0,41,-6.0,Liberty,6.0
252,401287886,2021,1,regular,2021-09-04,Houston,American Athletic,21,Texas Tech,Big 12,38,Houston -2.5,-2.5,17,-19.5,2.5,-17,19.5,Texas Tech,19.5
2,401287887,2021,1,regular,2021-09-04,Iowa State,Big 12,16,Northern Iowa,MVFC,10,Iowa State -28.5,-28.5,-6,-22.5,28.5,6,22.5,Northern Iowa,22.5
2230,401287888,2021,1,regular,2021-09-04,Kansas,Big 12,17,South Dakota,MVFC,14,Kansas -11.5,-11.5,-3,-8.5,11.5,3,8.5,South Dakota,8.5
1932,401287889,2021,1,regular,2021-09-04,Kansas State,Big 12,24,Stanford,Pac-12,7,Kansas State -3,-3.0,-17,14.0,3.0,17,-14.0,Kansas State,14.0
10,401287892,2021,1,regular,2021-09-04,Texas,Big 12,38,Louisiana,Sun Belt,18,Texas -8.5,-8.5,-20,11.5,8.5,20,-11.5,Texas,11.5
258,401287893,2021,1,regular,2021-09-04,Texas State,Sun Belt,20,Baylor,Big 12,29,Baylor -13.5,13.5,9,4.5,-13.5,-9,-4.5,Texas State,4.5
1909,401287894,2021,1,regular,2021-09-04,Oklahoma,Big 12,40,Tulane,American Athletic,35,Oklahoma -31,-31.0,-5,-26.0,31.0,5,26.0,Tulane,26.0
1914,401300996,2021,1,regular,2021-09-04,Cincinnati,American Athletic,49,Miami (OH),Mid-American,14,Cincinnati -22.5,-22.5,-35,12.5,22.5,35,-12.5,Cincinnati,12.5
263,401300997,2021,1,regular,2021-09-04,Memphis,American Athletic,42,Nicholls,Southland,17,Memphis -22.5,-22.5,-25,2.5,22.5,25,-2.5,Memphis,2.5
212,401300998,2021,1,regular,2021-09-04,SMU,American Athletic,56,Abilene Christian,AWC,9,SMU -32,-32.0,-47,15.0,32.0,47,-15.0,SMU,15.0
215,401309543,2021,1,regular,2021-09-04,Toledo,Mid-American,49,Norfolk State,MEAC,10,Toledo -39.5,-39.5,-39,-0.5,39.5,39,0.5,Norfolk State,0.5
266,401309598,2021,1,regular,2021-09-04,Arkansas State,Sun Belt,40,Central Arkansas,AWC,21,Arkansas State -13.5,-13.5,-19,5.5,13.5,19,-5.5,Arkansas State,5.5
1937,401309601,2021,1,regular,2021-09-04,Georgia State,Sun Belt,10,Army,FBS Independents,43,Georgia State -2.5,-2.5,33,-35.5,2.5,-33,35.5,Army,35.5
269,401309602,2021,1,regular,2021-09-04,Troy,Sun Belt,55,Southern,SWAC,3,Troy -25,-25.0,-52,27.0,25.0,52,-27.0,Troy,27.0
2242,401309836,2021,1,regular,2021-09-04,Colorado,Pac-12,35,Northern Colorado,Big Sky,7,Colorado -37.5,-37.5,-28,-9.5,37.5,28,9.5,Northern Colorado,9.5
1950,401309838,2021,1,regular,2021-09-04,Oregon,Pac-12,31,Fresno State,Mountain West,24,Oregon -19.5,-19.5,-7,-12.5,19.5,7,12.5,Fresno State,12.5
5,401309842,2021,1,regular,2021-09-04,USC,Pac-12,30,San José State,Mountain West,7,USC -14,-14.0,-23,9.0,14.0,23,-9.0,USC,9.0
2812,401310695,2021,1,regular,2021-09-04,Colorado State,Mountain West,23,South Dakota State,MVFC,42,Colorado State -2.5,-2.5,19,-21.5,2.5,-19,21.5,South Dakota State,21.5
238,401310697,2021,1,regular,2021-09-04,Wyoming,Mountain West,19,Montana State,Big Sky,16,Wyoming -19,-19.0,-3,-16.0,19.0,3,16.0,Montana State,16.0
236,401310861,2021,1,regular,2021-09-04,Air Force,Mountain West,35,Lafayette,Patriot,14,Air Force -40.5,-40.5,-21,-19.5,40.5,21,19.5,Lafayette,19.5
1942,401327913,2021,1,regular,2021-09-04,Nebraska,Big Ten,52,Fordham,Patriot,7,Nebraska -42,-42.0,-45,3.0,42.0,45,-3.0,Nebraska,3.0
4697,401281948,2021,1,regular,2021-09-05,UCLA,Pac-12,38,LSU,SEC,27,LSU -2,2.0,-11,13.0,-2.0,11,-13.0,UCLA,13.0
4692,401282053,2021,1,regular,2021-09-05,Texas A&M,SEC,41,Kent State,Mid-American,10,Texas A&M -29.5,-29.5,-31,1.5,29.5,31,-1.5,Texas A&M,1.5
4708,401282054,2021,1,regular,2021-09-05,Vanderbilt,SEC,3,East Tennessee State,Southern,23,Vanderbilt -21,-21.0,20,-41.0,21.0,-20,41.0,East Tennessee State,41.0
4711,401282177,2021,1,regular,2021-09-05,South Alabama,Sun Belt,31,Southern Mississippi,Conference USA,7,South Alabama -2,-2.0,-24,22.0,2.0,24,-22.0,South Alabama,22.0
285,401282614,2021,1,regular,2021-09-05,Florida State,ACC,38,Notre Dame,FBS Independents,41,Notre Dame -7.5,7.5,3,4.5,-7.5,-3,-4.5,Florida State,4.5
4716,401287891,2021,1,regular,2021-09-05,TCU,Big 12,45,Duquesne,NEC,3,TCU -42,-42.0,-42,0.0,42.0,42,-0.0,Duquesne,0.0
280,401309837,2021,1,regular,2021-09-05,California,Pac-12,17,Nevada,Mountain West,22,California -3,-3.0,5,-8.0,3.0,-5,8.0,Nevada,8.0
4702,401309839,2021,1,regular,2021-09-05,Washington,Pac-12,7,Montana,Big Sky,13,Washington -22.5,-22.5,6,-28.5,22.5,-6,28.5,Montana,28.5
406,401309840,2021,1,regular,2021-09-05,Washington State,Pac-12,23,Utah State,Mountain West,26,Washington State -17,-17.0,3,-20.0,17.0,-3,20.0,Utah State,20.0
2321,401309841,2021,1,regular,2021-09-05,Arizona,Pac-12,16,BYU,FBS Independents,24,BYU -13.5,13.5,8,5.5,-13.5,-8,-5.5,Arizona,5.5
401,401310699,2021,1,regular,2021-09-05,San Diego State,Mountain West,28,New Mexico State,FBS Independents,10,San Diego State -31,-31.0,-18,-13.0,31.0,18,13.0,New Mexico State,13.0
289,401282055,2021,1,regular,2021-09-07,Ole Miss,SEC,43,Louisville,ACC,24,Ole Miss -9,-9.0,-19,10.0,9.0,19,-10.0,Ole Miss,10.0
932,401287896,2021,2,regular,2021-09-10,Coastal Carolina,Sun Belt,49,Kansas,Big 12,22,Coastal Carolina -27,-27.0,-27,0.0,27.0,27,-0.0,Kansas,0.0
1824,401282057,2021,2,regular,2021-09-11,Arkansas,SEC,40,Texas,Big 12,21,Texas -6,6.0,-19,25.0,-6.0,19,-25.0,Arkansas,25.0
1829,401282058,2021,2,regular,2021-09-11,Auburn,SEC,62,Alabama State,SWAC,0,Auburn -49.5,-49.5,-62,12.5,49.5,62,-12.5,Auburn,12.5
4615,401282059,2021,2,regular,2021-09-11,South Florida,American Athletic,20,Florida,SEC,42,Florida -28.5,28.5,22,6.5,-28.5,-22,-6.5,South Florida,6.5
995,401282060,2021,2,regular,2021-09-11,Georgia,SEC,56,UAB,Conference USA,7,Georgia -22.5,-22.5,-49,26.5,22.5,49,-26.5,Georgia,26.5
1016,401282061,2021,2,regular,2021-09-11,Kentucky,SEC,35,Missouri,SEC,28,Kentucky -5.5,-5.5,-7,1.5,5.5,7,-1.5,Kentucky,1.5
1153,401282063,2021,2,regular,2021-09-11,Ole Miss,SEC,54,Austin Peay,OVC,17,Ole Miss -37,-37.0,-37,0.0,37.0,37,-0.0,Austin Peay,0.0
1011,401282064,2021,2,regular,2021-09-11,Mississippi State,SEC,24,NC State,ACC,10,NC State -1.5,1.5,-14,15.5,-1.5,14,-15.5,Mississippi State,15.5
1232,401282065,2021,2,regular,2021-09-11,East Carolina,American Athletic,17,South Carolina,SEC,20,South Carolina -2.5,2.5,3,-0.5,-2.5,-3,0.5,South Carolina,0.5
1005,401282066,2021,2,regular,2021-09-11,Tennessee,SEC,34,Pittsburgh,ACC,41,Pittsburgh -3.5,3.5,7,-3.5,-3.5,-7,3.5,Pittsburgh,3.5
1214,401282067,2021,2,regular,2021-09-11,Colorado,Pac-12,7,Texas A&M,SEC,10,Texas A&M -17,17.0,3,14.0,-17.0,-3,-14.0,Colorado,14.0
1222,401282182,2021,2,regular,2021-09-11,Florida International,Conference USA,17,Texas State,Sun Belt,23,Florida International -2,-2.0,6,-8.0,2.0,-6,8.0,Texas State,8.0
433,401282183,2021,2,regular,2021-09-11,Florida Atlantic,Conference USA,38,Georgia Southern,Sun Belt,6,Florida Atlantic -7,-7.0,-32,25.0,7.0,32,-25.0,Florida Atlantic,25.0
449,401282184,2021,2,regular,2021-09-11,Louisiana Tech,Conference USA,45,Southeastern Louisiana,Southland,42,Louisiana Tech -11.5,-11.5,-3,-8.5,11.5,3,8.5,Southeastern Louisiana,8.5
441,401282185,2021,2,regular,2021-09-11,Marshall,Conference USA,44,North Carolina Central,MEAC,10,Marshall -42.5,-42.5,-34,-8.5,42.5,34,8.5,North Carolina Central,8.5
423,401282186,2021,2,regular,2021-09-11,Virginia Tech,ACC,35,Middle Tennessee,Conference USA,14,Virginia Tech -20,-20.0,-21,1.0,20.0,21,-1.0,Virginia Tech,1.0
452,401282187,2021,2,regular,2021-09-11,SMU,American Athletic,35,North Texas,Conference USA,12,SMU -22.5,-22.5,-23,0.5,22.5,23,-0.5,SMU,0.5
457,401282188,2021,2,regular,2021-09-11,Old Dominion,Conference USA,47,Hampton,Big South,7,Old Dominion -21.5,-21.5,-40,18.5,21.5,40,-18.5,Old Dominion,18.5
444,401282189,2021,2,regular,2021-09-11,Rice,Conference USA,7,Houston,American Athletic,44,Houston -7.5,7.5,37,-29.5,-7.5,-37,29.5,Houston,29.5
460,401282190,2021,2,regular,2021-09-11,Southern Mississippi,Conference USA,37,Grambling,SWAC,0,Southern Mississippi -23,-23.0,-37,14.0,23.0,37,-14.0,Southern Mississippi,14.0
2406,401282191,2021,2,regular,2021-09-11,Boise State,Mountain West,54,UTEP,Conference USA,13,Boise State -25,-25.0,-41,16.0,25.0,41,-16.0,Boise State,16.0
438,401282192,2021,2,regular,2021-09-11,UT San Antonio,Conference USA,54,Lamar,AWC,0,UT San Antonio -38,-38.0,-54,16.0,38.0,54,-16.0,UT San Antonio,16.0
428,401282193,2021,2,regular,2021-09-11,Army,FBS Independents,38,Western Kentucky,Conference USA,35,Army -6,-6.0,-3,-3.0,6.0,3,3.0,Western Kentucky,3.0
2411,401282615,2021,2,regular,2021-09-11,Clemson,ACC,49,South Carolina State,MEAC,3,Clemson -50.5,-50.5,-46,-4.5,50.5,46,4.5,South Carolina State,4.5
937,401282616,2021,2,regular,2021-09-11,Duke,ACC,45,North Carolina A&T,Big South,17,Duke -22.5,-22.5,-28,5.5,22.5,28,-5.5,Duke,5.5
1219,401282619,2021,2,regular,2021-09-11,Louisville,ACC,30,Eastern Kentucky,AWC,3,Louisville -30,-30.0,-27,-3.0,30.0,27,3.0,Eastern Kentucky,3.0
1000,401282620,2021,2,regular,2021-09-11,Miami,ACC,25,Appalachian State,Sun Belt,23,Miami -7.5,-7.5,-2,-5.5,7.5,2,5.5,Appalachian State,5.5
1156,401282621,2021,2,regular,2021-09-11,North Carolina,ACC,59,Georgia State,Sun Belt,17,North Carolina -26,-26.0,-42,16.0,26.0,42,-16.0,North Carolina,16.0
1162,401282622,2021,2,regular,2021-09-11,Syracuse,ACC,7,Rutgers,Big Ten,17,Rutgers -2.5,2.5,10,-7.5,-2.5,-10,7.5,Rutgers,7.5
1119,401282623,2021,2,regular,2021-09-11,UMass,FBS Independents,28,Boston College,ACC,45,Boston College -39,39.0,17,22.0,-39.0,-17,-22.0,UMass,22.0
1086,401282624,2021,2,regular,2021-09-11,Virginia,ACC,42,Illinois,Big Ten,14,Virginia -10.5,-10.5,-28,17.5,10.5,28,-17.5,Virginia,17.5
1092,401282625,2021,2,regular,2021-09-11,Wake Forest,ACC,41,Norfolk State,MEAC,16,Wake Forest -43,-43.0,-25,-18.0,43.0,25,18.0,Norfolk State,18.0
1067,401282705,2021,2,regular,2021-09-11,Notre Dame,FBS Independents,32,Toledo,Mid-American,29,Notre Dame -16.5,-16.5,-3,-13.5,16.5,3,13.5,Toledo,13.5
1072,401282754,2021,2,regular,2021-09-11,Iowa State,Big 12,17,Iowa,Big Ten,27,Iowa State -4,-4.0,10,-14.0,4.0,-10,14.0,Iowa,14.0
1095,401282783,2021,2,regular,2021-09-11,Michigan State,Big Ten,42,Youngstown State,MVFC,14,Michigan State -28.5,-28.5,-28,-0.5,28.5,28,0.5,Youngstown State,0.5
1098,401282790,2021,2,regular,2021-09-11,Minnesota,Big Ten,31,Miami (OH),Mid-American,26,Minnesota -19,-19.0,-5,-14.0,19.0,5,14.0,Miami (OH),14.0
1124,401282797,2021,2,regular,2021-09-11,Nebraska,Big Ten,28,Buffalo,Mid-American,3,Nebraska -13.5,-13.5,-25,11.5,13.5,25,-11.5,Nebraska,11.5
1102,401282804,2021,2,regular,2021-09-11,Northwestern,Big Ten,24,Indiana State,MVFC,6,Northwestern -28.5,-28.5,-18,-10.5,28.5,18,10.5,Indiana State,10.5
1056,401282809,2021,2,regular,2021-09-11,Ohio State,Big Ten,28,Oregon,Pac-12,35,Ohio State -15,-15.0,7,-22.0,15.0,-7,22.0,Oregon,22.0
1077,401282816,2021,2,regular,2021-09-11,Penn State,Big Ten,44,Ball State,Mid-American,13,Penn State -22.5,-22.5,-31,8.5,22.5,31,-8.5,Penn State,8.5
1114,401282820,2021,2,regular,2021-09-11,Connecticut,FBS Independents,0,Purdue,Big Ten,49,Purdue -35,35.0,49,-14.0,-35.0,-49,14.0,Purdue,14.0
1082,401282825,2021,2,regular,2021-09-11,Wisconsin,Big Ten,34,Eastern Michigan,Mid-American,7,Wisconsin -26,-26.0,-27,1.0,26.0,27,-1.0,Wisconsin,1.0
2560,401286207,2021,2,regular,2021-09-11,Maryland,Big Ten,62,Howard,MEAC,0,Maryland -48.5,-48.5,-62,13.5,48.5,62,-13.5,Maryland,13.5
1142,401286295,2021,2,regular,2021-09-11,Troy,Sun Belt,13,Liberty,FBS Independents,21,Liberty -3,3.0,8,-5.0,-3.0,-8,5.0,Liberty,5.0
1147,401287895,2021,2,regular,2021-09-11,Baylor,Big 12,66,Texas Southern,SWAC,7,Baylor -44.5,-44.5,-59,14.5,44.5,59,-14.5,Baylor,14.5
1150,401287897,2021,2,regular,2021-09-11,Kansas State,Big 12,31,Southern Illinois,MVFC,23,Kansas State -17,-17.0,-8,-9.0,17.0,8,9.0,Southern Illinois,9.0
1061,401287898,2021,2,regular,2021-09-11,Oklahoma,Big 12,76,Western Carolina,Southern,0,Oklahoma -52.5,-52.5,-76,23.5,52.5,76,-23.5,Oklahoma,23.5
1106,401287899,2021,2,regular,2021-09-11,Oklahoma State,Big 12,28,Tulsa,American Athletic,23,Oklahoma State -12,-12.0,-5,-7.0,12.0,5,7.0,Tulsa,7.0
1129,401287900,2021,2,regular,2021-09-11,TCU,Big 12,34,California,Pac-12,32,TCU -11.5,-11.5,-2,-9.5,11.5,2,9.5,California,9.5
2551,401287901,2021,2,regular,2021-09-11,Texas Tech,Big 12,28,Stephen F. Austin,AWC,22,Texas Tech -31.5,-31.5,-6,-25.5,31.5,6,25.5,Stephen F. Austin,25.5
1134,401300999,2021,2,regular,2021-09-11,Akron,Mid-American,24,Temple,American Athletic,45,Temple -6.5,6.5,21,-14.5,-6.5,-21,14.5,Temple,14.5
1111,401301000,2021,2,regular,2021-09-11,Tulane,American Athletic,69,Morgan State,MEAC,20,Tulane -47.5,-47.5,-49,1.5,47.5,49,-1.5,Tulane,1.5
1064,401301002,2021,2,regular,2021-09-11,Cincinnati,American Athletic,42,Murray State,OVC,7,Cincinnati -36.5,-36.5,-35,-1.5,36.5,35,1.5,Murray State,1.5
2554,401301003,2021,2,regular,2021-09-11,Arkansas State,Sun Belt,50,Memphis,American Athletic,55,Memphis -5.5,5.5,5,0.5,-5.5,-5,-0.5,Arkansas State,0.5
909,401301004,2021,2,regular,2021-09-11,Navy,American Athletic,3,Air Force,Mountain West,23,Air Force -6,6.0,20,-14.0,-6.0,-20,14.0,Air Force,14.0
919,401309544,2021,2,regular,2021-09-11,Western Michigan,Mid-American,28,Illinois State,MVFC,0,Western Michigan -12.5,-12.5,-28,15.5,12.5,28,-15.5,Western Michigan,15.5
921,401309545,2021,2,regular,2021-09-11,Kent State,Mid-American,60,VMI,Southern,10,Kent State -20,-20.0,-50,30.0,20.0,50,-30.0,Kent State,30.0
914,401309546,2021,2,regular,2021-09-11,Bowling Green,Mid-American,19,South Alabama,Sun Belt,22,South Alabama -14.5,14.5,3,11.5,-14.5,-3,-11.5,Bowling Green,11.5
898,401309547,2021,2,regular,2021-09-11,Northern Illinois,Mid-American,43,Wyoming,Mountain West,50,Wyoming -7,7.0,7,0.0,-7.0,-7,-0.0,Wyoming,0.0
906,401309548,2021,2,regular,2021-09-11,Central Michigan,Mid-American,45,Robert Morris,Big South,0,Central Michigan -37.5,-37.5,-45,7.5,37.5,45,-7.5,Central Michigan,7.5
903,401309753,2021,2,regular,2021-09-11,Ohio,Mid-American,26,Duquesne,NEC,28,Ohio -28.5,-28.5,2,-30.5,28.5,-2,30.5,Duquesne,30.5
2161,401309845,2021,2,regular,2021-09-11,Washington State,Pac-12,44,Portland State,Big Sky,24,Washington State -31,-31.0,-20,-11.0,31.0,20,11.0,Portland State,11.0
2164,401310700,2021,2,regular,2021-09-11,New Mexico,Mountain West,34,New Mexico State,FBS Independents,25,New Mexico -19.5,-19.5,-9,-10.5,19.5,9,10.5,New Mexico State,10.5
2143,401310701,2021,2,regular,2021-09-11,Utah State,Mountain West,48,North Dakota,MVFC,24,Utah State -6.5,-6.5,-24,17.5,6.5,24,-17.5,Utah State,17.5
1021,401282062,2021,2,regular,2021-09-12,LSU,SEC,34,McNeese,Southland,7,LSU -39,-39.0,-27,-12.0,39.0,27,12.0,McNeese,12.0
1051,401282068,2021,2,regular,2021-09-12,Colorado State,Mountain West,21,Vanderbilt,SEC,24,Colorado State -6.5,-6.5,3,-9.5,6.5,-3,9.5,Vanderbilt,9.5
1024,401282617,2021,2,regular,2021-09-12,Florida State,ACC,17,Jacksonville State,AWC,20,Florida State -27.5,-27.5,3,-30.5,27.5,-3,30.5,Jacksonville State,30.5
2563,401282773,2021,2,regular,2021-09-12,Michigan,Big Ten,31,Washington,Pac-12,10,Michigan -6.5,-6.5,-21,14.5,6.5,21,-14.5,Michigan,14.5
2146,401309843,2021,2,regular,2021-09-12,USC,Pac-12,28,Stanford,Pac-12,42,USC -17.5,-17.5,14,-31.5,17.5,-14,31.5,Stanford,31.5
2818,401309844,2021,2,regular,2021-09-12,Oregon State,Pac-12,45,Hawai'i,Mountain West,27,Oregon State -11,-11.0,-18,7.0,11.0,18,-7.0,Oregon State,7.0
