,id,season,week,season_type,date,home_team,home_conference,home_score,away_team,away_conference,away_score,formatted_spread,home_spread,home_result,home_diff,away_spread,away_result,away_diff,covering_team,vegas_error
689,401404146,2022,1,regular,2022-08-27,Utah State,Mountain West,31.0,Connecticut,FBS Independents,20.0,Utah State -24,-24.0,-11.0,-13.0,24.0,11.0,13.0,Connecticut,13.0
693,401405058,2022,1,regular,2022-08-27,Illinois,Big Ten,38.0,Wyoming,Mountain West,6.0,Illinois -14,-14.0,-32.0,18.0,14.0,32.0,-18.0,Illinois,18.0
806,401405059,2022,1,regular,2022-08-27,Northwestern,Big Ten,31.0,Nebraska,Big Ten,28.0,Nebraska -12.5,12.5,-3.0,15.5,-12.5,3.0,-15.5,Northwestern,15.5
1191,401411090,2022,1,regular,2022-08-27,Florida State,ACC,47.0,Duquesne,NEC,7.0,Florida State -42,-42.0,-40.0,-2.0,42.0,40.0,2.0,Duquesne,2.0
998,401413213,2022,1,regular,2022-08-27,Jacksonville State,Atlantic Sun,42.0,Stephen F. Austin,Western Athletic,17.0,Stephen F. Austin -7.5,7.5,-25.0,32.5,-7.5,25.0,-32.5,Jacksonville State,32.5
1184,401413256,2022,1,regular,2022-08-27,UNLV,Mountain West,52.0,Idaho State,Big Sky,21.0,UNLV -22.5,-22.5,-31.0,8.5,22.5,31.0,-8.5,UNLV,8.5
1001,401422922,2022,1,regular,2022-08-27,Mercer,Southern,63.0,Morehead State,Pioneer,13.0,Mercer -29.5,-29.5,-50.0,20.5,29.5,50.0,-20.5,Mercer,20.5
1003,401423448,2022,1,regular,2022-08-27,Alabama State,SWAC,23.0,Howard,MEAC,13.0,Howard -1,1.0,-10.0,11.0,-1.0,10.0,-11.0,Alabama State,11.0
1188,401426532,2022,1,regular,2022-08-27,Western Kentucky,Conference USA,38.0,Austin Peay,Atlantic Sun,27.0,Western Kentucky -32.5,-32.5,-11.0,-21.5,32.5,11.0,21.5,Austin Peay,21.5
685,401403853,2022,1,regular,2022-08-28,Hawai'i,Mountain West,10.0,Vanderbilt,SEC,63.0,Vanderbilt -9,9.0,53.0,-44.0,-9.0,-53.0,44.0,Vanderbilt,44.0
1009,401409235,2022,1,regular,2022-08-28,New Mexico State,FBS Independents,12.0,Nevada,Mountain West,23.0,Nevada -7,7.0,11.0,-4.0,-7.0,-11.0,4.0,Nevada,4.0
1193,401411091,2022,1,regular,2022-08-28,North Carolina,ACC,56.0,Florida A&M,SWAC,24.0,North Carolina -45.5,-45.5,-32.0,-13.5,45.5,32.0,13.5,Florida A&M,13.5
1014,401426531,2022,1,regular,2022-08-28,UTEP,Conference USA,13.0,North Texas,Conference USA,31.0,North Texas -1.5,1.5,18.0,-16.5,-1.5,-18.0,16.5,North Texas,16.5
1647,401403864,2022,1,regular,2022-09-01,Tennessee,SEC,59.0,Ball State,Mid-American,10.0,Tennessee -35.5,-35.5,-49.0,13.5,35.5,49.0,-13.5,Tennessee,13.5
1561,401411092,2022,1,regular,2022-09-01,Pittsburgh,ACC,38.0,West Virginia,Big 12,31.0,Pittsburgh -7.5,-7.5,-7.0,-0.5,7.5,7.0,0.5,West Virginia,0.5
3049,401411093,2022,1,regular,2022-09-01,Wake Forest,ACC,44.0,VMI,Southern,10.0,Wake Forest -33.5,-33.5,-34.0,0.5,33.5,34.0,-0.5,Wake Forest,0.5
3054,401415610,2022,1,regular,2022-09-01,UCF,American Athletic,56.0,South Carolina State,MEAC,10.0,UCF -43.5,-43.5,-46.0,2.5,43.5,46.0,-2.5,UCF,2.5
1565,401416569,2022,1,regular,2022-09-01,Oklahoma State,Big 12,58.0,Central Michigan,Mid-American,44.0,Oklahoma State -20.5,-20.5,-14.0,-6.5,20.5,14.0,6.5,Central Michigan,6.5
1894,401418776,2022,1,regular,2022-09-01,Indiana State,MVFC,17.0,North Alabama,Atlantic Sun,14.0,Indiana State -3.5,-3.5,-3.0,-0.5,3.5,3.0,0.5,North Alabama,0.5
1668,401420840,2022,1,regular,2022-09-01,UT Martin,OVC,42.0,Western Illinois,MVFC,25.0,UT Martin -17,-17.0,-17.0,0.0,17.0,17.0,-0.0,Western Illinois,0.0
1897,401421137,2022,1,regular,2022-09-01,Campbell,Big South,29.0,The Citadel,Southern,10.0,Campbell -9.5,-9.5,-19.0,9.5,9.5,19.0,-9.5,Campbell,9.5
1904,401424402,2022,1,regular,2022-09-01,New Hampshire,CAA,31.0,Monmouth,CAA,21.0,Monmouth -1.5,1.5,-10.0,11.5,-1.5,10.0,-11.5,New Hampshire,11.5
1666,401424414,2022,1,regular,2022-09-01,Stony Brook,CAA,14.0,Rhode Island,CAA,35.0,Rhode Island -0,0.0,21.0,-21.0,-0.0,-21.0,21.0,Rhode Island,21.0
3052,401426533,2022,1,regular,2022-09-01,Florida International,Conference USA,38.0,Bryant,Big South,37.0,Florida International -10.5,-10.5,-1.0,-9.5,10.5,1.0,9.5,Bryant,9.5
1901,401428480,2022,1,regular,2022-09-01,Wagner,NEC,31.0,Fordham,Patriot,48.0,Fordham -27.5,27.5,17.0,10.5,-27.5,-17.0,-10.5,Wagner,10.5
1997,401441990,2022,1,regular,2022-09-01,Toledo,Mid-American,37.0,Long Island University,NEC,0.0,Toledo -47.5,-47.5,-37.0,-10.5,47.5,37.0,10.5,Long Island University,10.5
2003,401403965,2022,1,regular,2022-09-02,Arizona State,Pac-12,40.0,Northern Arizona,Big Sky,3.0,Arizona State -25.5,-25.5,-37.0,11.5,25.5,37.0,-11.5,Arizona State,11.5
1553,401405060,2022,1,regular,2022-09-02,Minnesota,Big Ten,38.0,New Mexico State,FBS Independents,0.0,Minnesota -36,-36.0,-38.0,2.0,36.0,38.0,-2.0,Minnesota,2.0
1557,401405064,2022,1,regular,2022-09-02,Purdue,Big Ten,31.0,Penn State,Big Ten,35.0,Penn State -3.5,3.5,4.0,-0.5,-3.5,-4.0,0.5,Penn State,0.5
3614,401411094,2022,1,regular,2022-09-02,Duke,ACC,30.0,Temple,American Athletic,0.0,Duke -9.5,-9.5,-30.0,20.5,9.5,30.0,-20.5,Duke,20.5
3088,401413224,2022,1,regular,2022-09-02,Fresno State,Mountain West,35.0,Cal Poly,Big Sky,7.0,Fresno State -42.5,-42.5,-28.0,-14.5,42.5,28.0,14.5,Cal Poly,14.5
2558,401415213,2022,1,regular,2022-09-02,San José State,Mountain West,21.0,Portland State,Big Sky,17.0,San José State -22,-22.0,-4.0,-18.0,22.0,4.0,18.0,Portland State,18.0
3601,401416590,2022,1,regular,2022-09-02,Eastern Michigan,Mid-American,42.0,Eastern Kentucky,Atlantic Sun,34.0,Eastern Michigan -10.5,-10.5,-8.0,-2.5,10.5,8.0,2.5,Eastern Kentucky,2.5
3155,401416591,2022,1,regular,2022-09-02,Michigan State,Big Ten,35.0,Western Michigan,Mid-American,13.0,Michigan State -21.5,-21.5,-22.0,0.5,21.5,22.0,-0.5,Michigan State,0.5
3079,401416592,2022,1,regular,2022-09-02,Northern Illinois,Mid-American,34.0,Eastern Illinois,OVC,27.0,Northern Illinois -35,-35.0,-7.0,-28.0,35.0,7.0,28.0,Eastern Illinois,28.0
1819,401418782,2022,1,regular,2022-09-02,Abilene Christian,Western Athletic,28.0,Lamar,Southland,14.0,Abilene Christian -16.5,-16.5,-14.0,-2.5,16.5,14.0,2.5,Lamar,2.5
1671,401420806,2022,1,regular,2022-09-02,Central Arkansas,Atlantic Sun,14.0,Missouri State,MVFC,27.0,Missouri State -16,16.0,13.0,3.0,-16.0,-13.0,-3.0,Central Arkansas,3.0
1673,401420877,2022,1,regular,2022-09-02,Southern Utah,Western Athletic,44.0,St. Thomas (MN),Pioneer,13.0,Southern Utah -3,-3.0,-31.0,28.0,3.0,31.0,-28.0,Southern Utah,28.0
1675,401420880,2022,1,regular,2022-09-02,Tarleton State,Western Athletic,29.0,Mississippi Valley State,SWAC,13.0,Tarleton State -13,-13.0,-16.0,3.0,13.0,16.0,-3.0,Tarleton State,3.0
1678,401424415,2022,1,regular,2022-09-02,Villanova,CAA,45.0,Lehigh,Patriot,17.0,Villanova -27.5,-27.5,-28.0,0.5,27.5,28.0,-0.5,Villanova,0.5
3159,401426330,2022,1,regular,2022-09-02,Old Dominion,Sun Belt,20.0,Virginia Tech,ACC,17.0,Virginia Tech -6,6.0,-3.0,9.0,-6.0,3.0,-9.0,Old Dominion,9.0
2000,401426534,2022,1,regular,2022-09-02,UAB,Conference USA,59.0,Alabama A&M,SWAC,0.0,UAB -40.5,-40.5,-59.0,18.5,40.5,59.0,-18.5,UAB,18.5
3597,401426535,2022,1,regular,2022-09-02,Charlotte,Conference USA,24.0,William & Mary,CAA,41.0,Charlotte -4.5,-4.5,17.0,-21.5,4.5,-17.0,21.5,William & Mary,21.5
1549,401426537,2022,1,regular,2022-09-02,Missouri,SEC,52.0,Louisiana Tech,Conference USA,24.0,Missouri -20.5,-20.5,-28.0,7.5,20.5,28.0,-7.5,Missouri,7.5
1681,401435072,2022,1,regular,2022-09-02,Merrimack,NEC,17.0,Holy Cross,Patriot,31.0,Holy Cross -23.5,23.5,14.0,9.5,-23.5,-14.0,-9.5,Merrimack,9.5
3163,401403854,2022,1,regular,2022-09-03,Alabama,SEC,55.0,Utah State,Mountain West,0.0,Alabama -42,-42.0,-55.0,13.0,42.0,55.0,-13.0,Alabama,13.0
3167,401403855,2022,1,regular,2022-09-03,Arkansas,SEC,31.0,Cincinnati,American Athletic,24.0,Arkansas -6.5,-6.5,-7.0,0.5,6.5,7.0,-0.5,Arkansas,0.5
3429,401403856,2022,1,regular,2022-09-03,Auburn,SEC,42.0,Mercer,Southern,16.0,Auburn -30,-30.0,-26.0,-4.0,30.0,26.0,4.0,Mercer,4.0
3171,401403857,2022,1,regular,2022-09-03,Florida,SEC,29.0,Utah,Pac-12,26.0,Utah -2.5,2.5,-3.0,5.5,-2.5,3.0,-5.5,Florida,5.5
1626,401403858,2022,1,regular,2022-09-03,Georgia,SEC,49.0,Oregon,Pac-12,3.0,Georgia -16,-16.0,-46.0,30.0,16.0,46.0,-30.0,Georgia,30.0
3175,401403859,2022,1,regular,2022-09-03,Kentucky,SEC,37.0,Miami (OH),Mid-American,13.0,Kentucky -15,-15.0,-24.0,9.0,15.0,24.0,-9.0,Kentucky,9.0
3179,401403860,2022,1,regular,2022-09-03,Ole Miss,SEC,28.0,Troy,Sun Belt,10.0,Ole Miss -21.5,-21.5,-18.0,-3.5,21.5,18.0,3.5,Troy,3.5
3183,401403861,2022,1,regular,2022-09-03,Mississippi State,SEC,49.0,Memphis,American Athletic,23.0,Mississippi State -17,-17.0,-26.0,9.0,17.0,26.0,-9.0,Mississippi State,9.0
3187,401403863,2022,1,regular,2022-09-03,South Carolina,SEC,35.0,Georgia State,Sun Belt,14.0,South Carolina -12.5,-12.5,-21.0,8.5,12.5,21.0,-8.5,South Carolina,8.5
4826,401403865,2022,1,regular,2022-09-03,Texas A&M,SEC,31.0,Sam Houston State,Western Athletic,0.0,Texas A&M -36.5,-36.5,-31.0,-5.5,36.5,31.0,5.5,Sam Houston State,5.5
3432,401403866,2022,1,regular,2022-09-03,Vanderbilt,SEC,42.0,Elon,CAA,31.0,Vanderbilt -18.5,-18.5,-11.0,-7.5,18.5,11.0,7.5,Elon,7.5
3630,401403966,2022,1,regular,2022-09-03,Colorado,Pac-12,13.0,TCU,Big 12,38.0,TCU -13.5,13.5,25.0,-11.5,-13.5,-25.0,11.5,TCU,11.5
4907,401403967,2022,1,regular,2022-09-03,San Diego State,Mountain West,20.0,Arizona,Pac-12,38.0,San Diego State -6.5,-6.5,18.0,-24.5,6.5,-18.0,24.5,Arizona,24.5
3412,401403968,2022,1,regular,2022-09-03,California,Pac-12,34.0,UC Davis,Big Sky,13.0,California -14,-14.0,-21.0,7.0,14.0,21.0,-7.0,California,7.0
4869,401403971,2022,1,regular,2022-09-03,UCLA,Pac-12,45.0,Bowling Green,Mid-American,17.0,UCLA -24,-24.0,-28.0,4.0,24.0,28.0,-4.0,UCLA,4.0
3623,401404052,2022,1,regular,2022-09-03,Kansas,Big 12,56.0,Tennessee Tech,OVC,10.0,Kansas -30.5,-30.5,-46.0,15.5,30.5,46.0,-15.5,Kansas,15.5
