,id,season,week,season_type,date,home_team,home_conference,home_score,away_team,away_conference,away_score,formatted_spread,home_spread,home_result,home_diff,away_spread,away_result,away_diff,covering_team,vegas_error
3773,401110723,2019,1,regular,2019-08-24,Florida,SEC,24.0,Miami,ACC,20.0,Florida -7,-7.0,-4.0,-3.0,7.0,4.0,3.0,Miami,3.0
3890,401114164,2019,1,regular,2019-08-25,Hawai'i,Mountain West,45.0,Arizona,Pac-12,38.0,Arizona -10.5,10.5,-7.0,17.5,-10.5,7.0,-17.5,Hawai'i,17.5
215,401114246,2019,1,regular,2019-08-29,Western Kentucky,Conference USA,28.0,Central Arkansas,Southland,35.0,Western Kentucky -10,-10.0,7.0,-17.0,10.0,-7.0,17.0,Central Arkansas,17.0
211,401117853,2019,1,regular,2019-08-29,UCF,American Athletic,62.0,Florida A&M,MEAC,0.0,UCF -44,-44.0,-62.0,18.0,44.0,62.0,-18.0,UCF,18.0
3906,401117854,2019,1,regular,2019-08-29,Cincinnati,American Athletic,24.0,UCLA,Pac-12,14.0,Cincinnati -2.5,-2.5,-10.0,7.5,2.5,10.0,-7.5,Cincinnati,7.5
212,401117855,2019,1,regular,2019-08-29,Connecticut,American Athletic,24.0,Wagner,NEC,21.0,Connecticut -23,-23.0,-3.0,-20.0,23.0,3.0,20.0,Wagner,20.0
213,401119254,2019,1,regular,2019-08-29,Bowling Green,Mid-American,46.0,Morgan State,MEAC,3.0,Bowling Green -24,-24.0,-43.0,19.0,24.0,43.0,-19.0,Bowling Green,19.0
214,401119255,2019,1,regular,2019-08-29,Buffalo,Mid-American,38.0,Robert Morris,NEC,10.0,Buffalo -41.5,-41.5,-28.0,-13.5,41.5,28.0,13.5,Robert Morris,13.5
216,401135910,2019,1,regular,2019-08-29,Charlotte,Conference USA,49.0,Gardner-Webb,Big South,28.0,Charlotte -31,-31.0,-21.0,-10.0,31.0,21.0,10.0,Gardner-Webb,10.0
3898,401110731,2019,1,regular,2019-08-30,Texas A&M,SEC,41.0,Texas State,Sun Belt,7.0,Texas A&M -33,-33.0,-34.0,1.0,33.0,34.0,-1.0,Texas A&M,1.0
3894,401111653,2019,1,regular,2019-08-30,Clemson,ACC,52.0,Georgia Tech,ACC,14.0,Clemson -36.5,-36.5,-38.0,1.5,36.5,38.0,-1.5,Clemson,1.5
3914,401112212,2019,1,regular,2019-08-30,Michigan State,Big Ten,28.0,Tulsa,American Athletic,7.0,Michigan State -23.5,-23.5,-21.0,-2.5,23.5,21.0,2.5,Tulsa,2.5
219,401112229,2019,1,regular,2019-08-30,Minnesota,Big Ten,28.0,South Dakota State,MVFC,21.0,Minnesota -14.5,-14.5,-7.0,-7.5,14.5,7.0,7.5,South Dakota State,7.5
3925,401112264,2019,1,regular,2019-08-30,Rutgers,Big Ten,48.0,UMass,FBS Independents,21.0,Rutgers -17,-17.0,-27.0,10.0,17.0,27.0,-10.0,Rutgers,10.0
3910,401114153,2019,1,regular,2019-08-30,Arizona State,Pac-12,30.0,Kent State,Mid-American,7.0,Arizona State -24.5,-24.5,-23.0,-1.5,24.5,23.0,1.5,Kent State,1.5
3902,401114223,2019,1,regular,2019-08-30,BYU,FBS Independents,12.0,Utah,Pac-12,30.0,Utah -5.5,5.5,18.0,-12.5,-5.5,-18.0,12.5,Utah,12.5
3830,401114236,2019,1,regular,2019-08-30,Tulane,American Athletic,42.0,Florida International,Conference USA,14.0,Tulane -3,-3.0,-28.0,25.0,3.0,28.0,-25.0,Tulane,25.0
217,401114237,2019,1,regular,2019-08-30,UAB,Conference USA,24.0,Alabama State,SWAC,19.0,UAB -39,-39.0,-5.0,-34.0,39.0,5.0,34.0,Alabama State,34.0
3922,401114238,2019,1,regular,2019-08-30,Army,FBS Independents,14.0,Rice,Conference USA,7.0,Army -23.5,-23.5,-7.0,-16.5,23.5,7.0,16.5,Rice,16.5
220,401117493,2019,1,regular,2019-08-30,San José State,Mountain West,35.0,Northern Colorado,Big Sky,18.0,San José State -17.5,-17.5,-17.0,-0.5,17.5,17.0,0.5,Northern Colorado,0.5
3918,401117856,2019,1,regular,2019-08-30,South Florida,American Athletic,0.0,Wisconsin,Big Ten,49.0,Wisconsin -10.5,10.5,49.0,-38.5,-10.5,-49.0,38.5,Wisconsin,38.5
218,401119253,2019,1,regular,2019-08-30,Central Michigan,Mid-American,38.0,Albany,CAA,21.0,Central Michigan -14.5,-14.5,-17.0,2.5,14.5,17.0,-2.5,Central Michigan,2.5
2756,401110720,2019,1,regular,2019-08-31,Alabama,SEC,42.0,Duke,ACC,3.0,Alabama -34.5,-34.5,-39.0,4.5,34.5,39.0,-4.5,Alabama,4.5
1870,401110721,2019,1,regular,2019-08-31,Arkansas,SEC,20.0,Portland State,Big Sky,13.0,Arkansas -29.5,-29.5,-7.0,-22.5,29.5,7.0,22.5,Portland State,22.5
2208,401110722,2019,1,regular,2019-08-31,Auburn,SEC,27.0,Oregon,Pac-12,21.0,Auburn -3.5,-3.5,-6.0,2.5,3.5,6.0,-2.5,Auburn,2.5
3834,401110724,2019,1,regular,2019-08-31,Kentucky,SEC,38.0,Toledo,Mid-American,24.0,Kentucky -10,-10.0,-14.0,4.0,10.0,14.0,-4.0,Kentucky,4.0
2805,401110725,2019,1,regular,2019-08-31,LSU,SEC,55.0,Georgia Southern,Sun Belt,3.0,LSU -27,-27.0,-52.0,25.0,27.0,52.0,-25.0,LSU,25.0
3861,401110726,2019,1,regular,2019-08-31,Memphis,American Athletic,15.0,Ole Miss,SEC,10.0,Memphis -3.5,-3.5,-5.0,1.5,3.5,5.0,-1.5,Memphis,1.5
3865,401110727,2019,1,regular,2019-08-31,Louisiana,Sun Belt,28.0,Mississippi State,SEC,38.0,Mississippi State -18.5,18.5,10.0,8.5,-18.5,-10.0,-8.5,Louisiana,8.5
2714,401110728,2019,1,regular,2019-08-31,Wyoming,Mountain West,37.0,Missouri,SEC,31.0,Missouri -17,17.0,-6.0,23.0,-17.0,6.0,-23.0,Wyoming,23.0
3442,401110729,2019,1,regular,2019-08-31,North Carolina,ACC,24.0,South Carolina,SEC,20.0,South Carolina -12,12.0,-4.0,16.0,-12.0,4.0,-16.0,North Carolina,16.0
2095,401110730,2019,1,regular,2019-08-31,Tennessee,SEC,30.0,Georgia State,Sun Belt,38.0,Tennessee -24.5,-24.5,8.0,-32.5,24.5,-8.0,32.5,Georgia State,32.5
245,401110732,2019,1,regular,2019-08-31,Vanderbilt,SEC,6.0,Georgia,SEC,30.0,Georgia -23.5,23.5,24.0,-0.5,-23.5,-24.0,0.5,Georgia,0.5
1875,401112073,2019,1,regular,2019-08-31,Baylor,Big 12,56.0,Stephen F. Austin,Southland,17.0,Baylor -43.5,-43.5,-39.0,-4.5,43.5,39.0,4.5,Stephen F. Austin,4.5
1266,401112085,2019,1,regular,2019-08-31,Iowa State,Big 12,29.0,Northern Iowa,MVFC,26.0,Iowa State -23.5,-23.5,-3.0,-20.5,23.5,3.0,20.5,Northern Iowa,20.5
1267,401112096,2019,1,regular,2019-08-31,Kansas,Big 12,24.0,Indiana State,MVFC,17.0,Kansas -7.5,-7.5,-7.0,-0.5,7.5,7.0,0.5,Indiana State,0.5
367,401112106,2019,1,regular,2019-08-31,Kansas State,Big 12,49.0,Nicholls,Southland,14.0,Kansas State -20.5,-20.5,-35.0,14.5,20.5,35.0,-14.5,Kansas State,14.5
3849,401112122,2019,1,regular,2019-08-31,Oregon State,Pac-12,36.0,Oklahoma State,Big 12,52.0,Oklahoma State -13.5,13.5,16.0,-2.5,-13.5,-16.0,2.5,Oklahoma State,2.5
1871,401112139,2019,1,regular,2019-08-31,Texas Tech,Big 12,45.0,Montana State,Big Sky,10.0,Texas Tech -28,-28.0,-35.0,7.0,28.0,35.0,-7.0,Texas Tech,7.0
1868,401112143,2019,1,regular,2019-08-31,West Virginia,Big 12,20.0,James Madison,CAA,13.0,West Virginia -7,-7.0,-7.0,0.0,7.0,7.0,-0.0,James Madison,0.0
