,id,season,week,season_type,date,home_team,home_conference,home_score,away_team,away_conference,away_score,formatted_spread,home_spread,home_result,home_diff,away_spread,away_result,away_diff,covering_team,vegas_error,game_winner,favorite,underdog,within_td,correct_predict
24,401012257,2018,1,regular,2018-09-01,Tennessee,SEC,14.0,West Virginia,Big 12,40.0,West Virginia -10,10.0,26.0,-16.0,-10.0,-26.0,16.0,West Virginia,16.0,West Virginia,West Virginia,Tennessee,Fav Cover by +7,Yes
25,401012259,2018,1,regular,2018-09-01,Vanderbilt,SEC,35.0,Middle Tennessee,Conference USA,7.0,Vanderbilt -3,-3.0,-28.0,25.0,3.0,28.0,-25.0,Vanderbilt,25.0,Vanderbilt,Vanderbilt,Middle Tennessee,Fav Cover by +7,Yes
26,401012678,2018,1,regular,2018-09-01,USC,Pac-12,43.0,UNLV,Mountain West,21.0,USC -25,-25.0,-22.0,-3.0,25.0,22.0,3.0,UNLV,3.0,USC,USC,UNLV,Vegas Within 7,Yes
27,401012680,2018,1,regular,2018-09-01,Colorado State,Mountain West,13.0,Colorado,Pac-12,45.0,Colorado State -7,-7.0,32.0,-39.0,7.0,-32.0,39.0,Colorado,39.0,Colorado,Colorado State,Colorado,Dog Cover by +7,No
28,401012682,2018,1,regular,2018-09-01,Ohio State,Big Ten,77.0,Oregon State,Pac-12,31.0,Ohio State -40,-40.0,-46.0,6.0,40.0,46.0,-6.0,Ohio State,6.0,Ohio State,Ohio State,Oregon State,Vegas Within 7,Yes
29,401012683,2018,1,regular,2018-09-01,Wyoming,Mountain West,19.0,Washington State,Pac-12,41.0,Washington State -3,3.0,22.0,-19.0,-3.0,-22.0,19.0,Washington State,19.0,Washington State,Washington State,Wyoming,Fav Cover by +7,Yes
30,401012684,2018,1,regular,2018-09-01,California,Pac-12,24.0,North Carolina,ACC,17.0,California -7,-7.0,-7.0,0.0,7.0,7.0,-0.0,North Carolina,0.0,California,California,North Carolina,Vegas Within 7,Yes
31,401012804,2018,1,regular,2018-09-01,Illinois,Big Ten,31.0,Kent State,Mid-American,24.0,Illinois -18,-18.0,-7.0,-11.0,18.0,7.0,11.0,Kent State,11.0,Illinois,Illinois,Kent State,Dog Cover by +7,Yes
32,401012820,2018,1,regular,2018-09-01,Rutgers,Big Ten,35.0,Texas State,Sun Belt,7.0,Rutgers -16.5,-16.5,-28.0,11.5,16.5,28.0,-11.5,Rutgers,11.5,Rutgers,Rutgers,Texas State,Fav Cover by +7,Yes
33,401012851,2018,1,regular,2018-09-01,Florida International,Conference USA,28.0,Indiana,Big Ten,38.0,Indiana -13,13.0,10.0,3.0,-13.0,-10.0,-3.0,Florida International,3.0,Indiana,Indiana,Florida International,Vegas Within 7,Yes
34,401012862,2018,1,regular,2018-09-01,Iowa,Big Ten,33.0,Northern Illinois,Mid-American,7.0,Iowa -9.5,-9.5,-26.0,16.5,9.5,26.0,-16.5,Iowa,16.5,Iowa,Iowa,Northern Illinois,Fav Cover by +7,Yes
35,401012872,2018,1,regular,2018-09-01,Maryland,Big Ten,34.0,Texas,Big 12,29.0,Texas -13,13.0,-5.0,18.0,-13.0,5.0,-18.0,Maryland,18.0,Maryland,Texas,Maryland,Dog Cover by +7,No
36,401012888,2018,1,regular,2018-09-01,Notre Dame,FBS Independents,24.0,Michigan,Big Ten,17.0,Michigan -3,3.0,-7.0,10.0,-3.0,7.0,-10.0,Notre Dame,10.0,Notre Dame,Michigan,Notre Dame,Dog Cover by +7,No
37,401013048,2018,1,regular,2018-09-01,Kansas,Big 12,23.0,Nicholls,Southland,26.0,Kansas -8,-8.0,3.0,-11.0,8.0,-3.0,11.0,Nicholls,11.0,Nicholls,Kansas,Nicholls,Dog Cover by +7,No
38,401013057,2018,1,regular,2018-09-01,Kansas State,Big 12,27.0,South Dakota,MVFC,24.0,Kansas State -24,-24.0,-3.0,-21.0,24.0,3.0,21.0,South Dakota,21.0,Kansas State,Kansas State,South Dakota,Dog Cover by +7,Yes
39,401013065,2018,1,regular,2018-09-01,Oklahoma,Big 12,63.0,Florida Atlantic,Conference USA,14.0,Oklahoma -19,-19.0,-49.0,30.0,19.0,49.0,-30.0,Oklahoma,30.0,Oklahoma,Oklahoma,Florida Atlantic,Fav Cover by +7,Yes
40,401013072,2018,1,regular,2018-09-01,TCU,Big 12,55.0,Southern,SWAC,7.0,TCU -49,-49.0,-48.0,-1.0,49.0,48.0,1.0,Southern,1.0,TCU,TCU,Southern,Vegas Within 7,Yes
41,401013087,2018,1,regular,2018-09-01,Boston College,ACC,55.0,UMass,FBS Independents,21.0,Boston College -20.5,-20.5,-34.0,13.5,20.5,34.0,-13.5,Boston College,13.5,Boston College,Boston College,UMass,Fav Cover by +7,Yes
42,401013088,2018,1,regular,2018-09-01,Clemson,ACC,48.0,Furman,Southern,7.0,Clemson -50.5,-50.5,-41.0,-9.5,50.5,41.0,9.5,Furman,9.5,Clemson,Clemson,Furman,Dog Cover by +7,Yes
43,401013090,2018,1,regular,2018-09-01,Georgia Tech,ACC,41.0,Alcorn State,SWAC,0.0,Georgia Tech -43,-43.0,-41.0,-2.0,43.0,41.0,2.0,Alcorn State,2.0,Georgia Tech,Georgia Tech,Alcorn State,Vegas Within 7,Yes
44,401013091,2018,1,regular,2018-09-01,NC State,ACC,24.0,James Madison,CAA,13.0,NC State -14.5,-14.5,-11.0,-3.5,14.5,11.0,3.5,James Madison,3.5,NC State,NC State,James Madison,Vegas Within 7,Yes
45,401013092,2018,1,regular,2018-09-01,Pittsburgh,ACC,33.0,Albany,CAA,7.0,Pittsburgh -27,-27.0,-26.0,-1.0,27.0,26.0,1.0,Albany,1.0,Pittsburgh,Pittsburgh,Albany,Vegas Within 7,Yes
46,401013094,2018,1,regular,2018-09-01,Virginia,ACC,42.0,Richmond,CAA,13.0,Virginia -14.5,-14.5,-29.0,14.5,14.5,29.0,-14.5,Virginia,14.5,Virginia,Virginia,Richmond,Fav Cover by +7,Yes
47,401013349,2018,1,regular,2018-09-01,Penn State,Big Ten,45.0,Appalachian State,Sun Belt,38.0,Penn State -24.5,-24.5,-7.0,-17.5,24.5,7.0,17.5,Appalachian State,17.5,Penn State,Penn State,Appalachian State,Dog Cover by +7,Yes
48,401013354,2018,1,regular,2018-09-01,Wisconsin,Big Ten,34.0,Western Kentucky,Conference USA,3.0,Wisconsin -36,-36.0,-31.0,-5.0,36.0,31.0,5.0,Western Kentucky,5.0,Wisconsin,Wisconsin,Western Kentucky,Vegas Within 7,Yes
49,401013448,2018,1,regular,2018-09-01,Liberty,FBS Independents,52.0,Old Dominion,Conference USA,10.0,Old Dominion -5,5.0,-42.0,47.0,-5.0,42.0,-47.0,Liberty,47.0,Liberty,Old Dominion,Liberty,Dog Cover by +7,No
50,401014973,2018,1,regular,2018-09-01,Charlotte,Conference USA,34.0,Fordham,Patriot,10.0,Charlotte -16.5,-16.5,-24.0,7.5,16.5,24.0,-7.5,Charlotte,7.5,Charlotte,Charlotte,Fordham,Fav Cover by +7,Yes
51,401014974,2018,1,regular,2018-09-01,South Alabama,Sun Belt,26.0,Louisiana Tech,Conference USA,30.0,Louisiana Tech -10.5,10.5,4.0,6.5,-10.5,-4.0,-6.5,South Alabama,6.5,Louisiana Tech,Louisiana Tech,South Alabama,Vegas Within 7,Yes
52,401014975,2018,1,regular,2018-09-01,Miami (OH),Mid-American,28.0,Marshall,Conference USA,35.0,Miami (OH) -1.5,-1.5,7.0,-8.5,1.5,-7.0,8.5,Marshall,8.5,Marshall,Miami (OH),Marshall,Dog Cover by +7,No
53,401014976,2018,1,regular,2018-09-01,North Texas,Conference USA,46.0,SMU,American Athletic,23.0,North Texas -3.5,-3.5,-23.0,19.5,3.5,23.0,-19.5,North Texas,19.5,North Texas,North Texas,SMU,Fav Cover by +7,Yes
54,401014977,2018,1,regular,2018-09-01,Rice,Conference USA,27.0,Houston,American Athletic,45.0,Houston -26,26.0,18.0,8.0,-26.0,-18.0,-8.0,Rice,8.0,Houston,Houston,Rice,Dog Cover by +7,Yes
55,401014978,2018,1,regular,2018-09-01,Southern Mississippi,Conference USA,55.0,Jackson State,SWAC,7.0,Southern Mississippi -33,-33.0,-48.0,15.0,33.0,48.0,-15.0,Southern Mississippi,15.0,Southern Mississippi,Southern Mississippi,Jackson State,Fav Cover by +7,Yes
